rho_1,theta_1,field_strength
5.4e+06,3.58142,5.78878
6e+06,3.58142,4.69899
0,3.64425,56.9914
600000,3.64425,52.3892
1.2e+06,3.64425,40.4724
1.8e+06,3.64425,29.1622
2.4e+06,3.64425,21.0565
3e+06,3.64425,15.5771
3.6e+06,3.64425,11.8139
4.2e+06,3.64425,9.15296
4.8e+06,3.64425,7.21971
5.4e+06,3.64425,5.78279
6e+06,3.64425,4.69431
0,3.70708,56.9914
600000,3.70708,52.3329
1.2e+06,3.70708,40.4192
1.8e+06,3.70708,29.1229
2.4e+06,3.70708,21.0285
3e+06,3.70708,15.5569
3.6e+06,3.70708,11.7991
4.2e+06,3.70708,9.14189
4.8e+06,3.70708,7.21129
5.4e+06,3.70708,5.7763
6e+06,3.70708,4.68923
0,3.76991,56.9914
600000,3.76991,52.2721
1.2e+06,3.76991,40.3614
1.8e+06,3.76991,29.0803
2.4e+06,3.76991,20.9982
3e+06,3.76991,15.5351
3.6e+06,3.76991,11.7831
4.2e+06,3.76991,9.12994
4.8e+06,3.76991,7.20221
5.4e+06,3.76991,5.7693
6e+06,3.76991,4.68377
0,3.83274,56.9914
600000,3.83274,52.2068
1.2e+06,3.83274,40.2989
1.8e+06,3.83274,29.0342
2.4e+06,3.83274,20.9654
3e+06,3.83274,15.5116
3.6e+06,3.83274,11.7659
4.2e+06,3.83274,9.11712
4.8e+06,3.83274,7.19249
5.4e+06,3.83274,5.76182
6e+06,3.83274,4.67794
0,3.89557,56.9914
600000,3.89557,52.1371
1.2e+06,3.89557,40.2316
1.8e+06,3.89557,28.9846
2.4e+06,3.89557,20.9303
3e+06,3.89557,15.4864
3.6e+06,3.89557,11.7475
4.2e+06,3.89557,9.10343
4.8e+06,3.89557,7.18212
5.4e+06,3.89557,5.75385
6e+06,3.89557,4.67173
0,3.95841,56.9914
600000,3.95841,52.0629
1.2e+06,3.95841,40.1595
1.8e+06,3.95841,28.9314
2.4e+06,3.95841,20.8927
3e+06,3.95841,15.4595
3.6e+06,3.95841,11.728
4.2e+06,3.95841,9.08889
4.8e+06,3.95841,7.17112
5.4e+06,3.95841,5.7454
6e+06,3.95841,4.66515
0,4.02124,56.9914
600000,4.02124,51.9843
1.2e+06,4.02124,40.0825
1.8e+06,4.02124,28.8746
2.4e+06,4.02124,20.8526
3e+06,4.02124,15.431
3.6e+06,4.02124,11.7072
4.2e+06,4.02124,9.07349
4.8e+06,4.02124,7.1595
5.4e+06,4.02124,5.73649
6e+06,4.02124,4.65823
0,4.08407,56.9914
600000,4.08407,51.9013
1.2e+06,4.08407,40.0005
1.8e+06,4.08407,28.8142
2.4e+06,4.08407,20.81
3e+06,4.08407,15.4007
3.6e+06,4.08407,11.6853
4.2e+06,4.08407,9.05726
4.8e+06,4.08407,7.14727
5.4e+06,4.08407,5.72712
6e+06,4.08407,4.65095
0,4.1469,56.9914
600000,4.1469,51.8141
1.2e+06,4.1469,39.9134
1.8e+06,4.1469,28.75
2.4e+06,4.1469,20.765
3e+06,4.1469,15.3688
3.6e+06,4.1469,11.6622
4.2e+06,4.1469,9.04021
4.8e+06,4.1469,7.13444
5.4e+06,4.1469,5.71732
6e+06,4.1469,4.64335
0,4.20973,56.9914
600000,4.20973,51.7226
1.2e+06,4.20973,39.8212
1.8e+06,4.20973,28.6819
2.4e+06,4.20973,20.7174
3e+06,4.20973,15.3352
3.6e+06,4.20973,11.6379
4.2e+06,4.20973,9.02236
4.8e+06,4.20973,7.12104
5.4e+06,4.20973,5.70709
6e+06,4.20973,4.63543
